label,message
spam,"Dear customer, this is an automated message from XYZ Bank, please send the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. system urgent account confirm confirm information update security compliance urgent confirm immediately urgent important system immediately confirm risk protocol"
spam,"Dear customer, this is an automated message from ABC Telecom, kindly share the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. urgent protocol information alert important support alert security security protocol system protocol confirm immediately support device risk protocol system"
spam,"Dear customer, this is an automated message from PayQuick, please give the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. update risk confirm urgent confirm account security confirm verification account system device device confirm account verify system system important"
spam,"Dear customer, this is an automated message from ShopEase, provide the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. confirm important device support system risk information protocol notice confirm urgent alert account confirm verify update alert information device verify"
spam,"Dear customer, this is an automated message from SecureMail, enter the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. protect account confirm risk account risk update device confirm support immediately security urgent verification system notice compliance security device support"
spam,"Dear customer, this is an automated message from FastPay, submit the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. immediately support update urgent confirm information immediately account system verification compliance protect support update account immediately important verify update account"
spam,"Dear customer, this is an automated message from GlobalCard, forward the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. system system important notice immediately notice immediately urgent alert urgent verify update protocol alert security update verify security protect security"
spam,"Dear customer, this is an automated message from QuickLoan, type the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. notice notice verification protect immediately account update compliance confirm immediately confirm confirm alert support system compliance immediately verification confirm alert"
spam,"Dear customer, this is an automated message from MyWallet, paste the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. risk confirm confirm security system confirm verify update security confirm information confirm verification verify risk protect notice protocol important security"
spam,"Dear customer, this is an automated message from PrimeServices, key in the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. compliance compliance protect confirm information support security compliance alert update confirm important compliance compliance account confirm verify compliance update"
spam,"Dear customer, this is an automated message from XYZ Bank, please send the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. risk security support protocol support verify protocol important protect confirm compliance security device support account notice protect compliance support"
spam,"Dear customer, this is an automated message from ABC Telecom, kindly share the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. support risk confirm important account support risk immediately confirm security risk immediately update important support security important risk information"
spam,"Dear customer, this is an automated message from PayQuick, please give the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. confirm verification update confirm risk system compliance risk immediately verify confirm confirm confirm device information account alert notice security"
spam,"Dear customer, this is an automated message from ShopEase, provide the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. protect support support security confirm account verify update update device important protocol confirm system support information urgent protocol account information"
spam,"Dear customer, this is an automated message from SecureMail, enter the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. verify verification verification verification risk account system confirm confirm system account protect verify protocol security compliance account urgent notice system"
spam,"Dear customer, this is an automated message from FastPay, submit the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. account confirm risk compliance urgent security update verify immediately protocol risk verification verification alert update notice update update confirm confirm"
spam,"Dear customer, this is an automated message from GlobalCard, forward the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. verification notice update compliance system important verify update support protocol update urgent confirm alert verify protocol update protocol account notice"
spam,"Dear customer, this is an automated message from QuickLoan, type the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. verification update update confirm protocol protect alert notice confirm urgent important alert update support account system device support immediately verify"
spam,"Dear customer, this is an automated message from MyWallet, paste the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. verification support important support account verification compliance confirm alert system immediately device risk account confirm urgent verify immediately confirm confirm"
spam,"Dear customer, this is an automated message from PrimeServices, key in the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. information device security information alert alert protocol confirm alert alert compliance compliance account verification compliance verify information verify system"
spam,"Dear customer, this is an automated message from XYZ Bank, please send the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. alert immediately urgent account compliance risk information protect compliance confirm protect verify notice important security immediately system alert protocol"
spam,"Dear customer, this is an automated message from ABC Telecom, kindly share the OTP sent to your registered mobile number for security verification. Use the OTP now to finalize the authentication procedure. notice information confirm important urgent confirm protect protocol security compliance system important information protect confirm information urgent notice notice"
